Sample,Treatment,Day,group,total_biomass
22,Control,10,Charophyta,135.862494812512
22,Control,10,Chlorophyta,36.9541514651928
22,Control,10,Cryptophyta,0.527667465333932
22,Control,10,Cyanobacteria,8.96606433084138
22,Control,10,Dinophyta,174.641135613057
22,Control,10,Euglenophyta,1.98941354788574
22,Control,10,Synurophyta,0
22,Control,15,Bacillariophyta,7.0562010211109
22,Control,15,Charophyta,37.8979967018855
22,Control,15,Chlorophyta,23.4159561272896
22,Control,15,Cryptophyta,60.1941741705865
22,Control,15,Cyanobacteria,0.768131708373931
22,Control,15,Dinophyta,74.7699051554371
22,Control,15,Euglenophyta,0
22,Control,15,Synurophyta,0
22,Control,24,Bacillariophyta,9.2608854676951
22,Control,24,Charophyta,194.755909070966
22,Control,24,Chlorophyta,44.687377831644
22,Control,24,Cryptophyta,14.8338151120876
22,Control,24,Cyanobacteria,1.66876637009832
22,Control,24,Dinophyta,21.3628300444106
22,Control,24,Euglenophyta,1.09866976520717
22,Control,24,Synurophyta,0
22,Control,30,Bacillariophyta,5.24731702411023
22,Control,30,Charophyta,212.280105591772
22,Control,30,Chlorophyta,68.2950338881797
22,Control,30,Cryptophyta,24.8843590595439
22,Control,30,Cyanobacteria,5.23055541868615
22,Control,30,Dinophyta,128.176980266464
22,Control,30,Euglenophyta,0
22,Control,30,Synurophyta,0
22,Control,38,Bacillariophyta,23.9800699117712
22,Control,38,Charophyta,110.733126159866
22,Control,38,Chlorophyta,236.789831120612
22,Control,38,Cryptophyta,14.0699326041272
22,Control,38,Cyanobacteria,7.87178006535401
22,Control,38,Dinophyta,113.757069986486
22,Control,38,Euglenophyta,3.7690235207585
22,Control,38,Synurophyta,0
24,HW,-4,Bacillariophyta,8.40969986761449
24,HW,-4,Charophyta,13.2834920132779
24,HW,-4,Chlorophyta,1.76243347866387
24,HW,-4,Cryptophyta,220.593473156502
24,HW,-4,Cyanobacteria,1.40442805183629
24,HW,-4,Dinophyta,0
24,HW,-4,Euglenophyta,0.858963791369009
24,HW,-4,Synurophyta,0
24,HW,3,Bacillariophyta,0.267035375555132
24,HW,3,Charophyta,1.35603901649091
24,HW,3,Chlorophyta,0.877878797137498
24,HW,3,Cryptophyta,9.11332766457565
24,HW,3,Cyanobacteria,0
24,HW,3,Dinophyta,10.6814150222053
24,HW,3,Euglenophyta,4.68647084099257
24,HW,3,Synurophyta,0
24,HW,10,Bacillariophyta,6.1498194924788
24,HW,10,Charophyta,26.8874347016334
24,HW,10,Chlorophyta,5.05769642457532
24,HW,10,Cryptophyta,0.918267897690211
24,HW,10,Cyanobacteria,0.17402695424928
24,HW,10,Dinophyta,3.73849525777185
24,HW,10,Euglenophyta,2.71931024106977
24,HW,10,Synurophyta,0
24,HW,15,Bacillariophyta,0
24,HW,15,Charophyta,31.5600789601941
24,HW,15,Chlorophyta,1.33517687777566
24,HW,15,Cryptophyta,10.4063129530136
24,HW,15,Cyanobacteria,0
24,HW,15,Dinophyta,21.3628300444106
24,HW,15,Euglenophyta,3.33794219443915
24,HW,15,Synurophyta,0
24,HW,24,Bacillariophyta,16.4248241315936
24,HW,24,Charophyta,21.0750873735698
24,HW,24,Chlorophyta,11.2809355230534
24,HW,24,Cryptophyta,56.2271912063683
24,HW,24,Cyanobacteria,3.0503317431975
24,HW,24,Dinophyta,17.6243347866387
24,HW,24,Euglenophyta,33.9180823660192
24,HW,24,Synurophyta,0
24,HW,30,Bacillariophyta,10.2872322808287
24,HW,30,Charophyta,24.2184025035067
24,HW,30,Chlorophyta,77.9430771248355
24,HW,30,Cryptophyta,16.3203120360112
24,HW,30,Cyanobacteria,0.00356047167406843
24,HW,30,Dinophyta,10.6814150222053
24,HW,30,Euglenophyta,3.33933300368684
24,HW,30,Synurophyta,0
24,HW,38,Bacillariophyta,3.4530385822732
24,HW,38,Charophyta,75.1270838234341
24,HW,38,Chlorophyta,8.82271356160215
24,HW,38,Cryptophyta,10.7061658635771
24,HW,38,Cyanobacteria,0.114705087031668
24,HW,38,Dinophyta,6.94291976443344
24,HW,38,Euglenophyta,5.43639518734324
24,HW,38,Synurophyta,0
